0_age,1_categorical,2_fnlwgt,3_categorical,4_categorical,5_categorical,6_categorical,7_categorical,8_categorical,9_categorical,10_capital_gain,11_capital_loss,12_hours_per_week,13_categorical,14_categorical
44.46,4,228622.16,2,3,1,2,11,0,3,0.0,0.0,64.5,1,1
36.2,1,52869.07,3,3,1,3,11,1,0,9758.52,0.0,36.14,10,7
46.42,9,257692.66,4,4,4,1,11,2,3,0.0,0.0,37.96,10,0
57.8,0,94004.64,0,7,1,4,12,2,2,0.0,0.0,38.52,8,11
34.96,4,195814.4,1,5,4,4,13,6,0,0.0,0.0,40.75,3,5
34.96,7,53431.22,1,5,0,2,7,1,0,0.0,0.0,35.43,3,7
58.53,7,20466.08,4,4,4,2,8,4,3,11367.49,0.0,42.68,10,11
47.98,3,26395.59,1,2,0,2,13,6,1,0.0,0.0,49.45,2,11
31.9,5,731111.95,3,6,2,1,12,6,0,0.0,0.0,35.73,4,0
45.05,8,61184.41,0,2,2,1,9,2,3,0.0,0.0,30.05,11,3
31.98,2,237263.46,2,7,0,1,7,2,3,0.0,0.0,54.91,8,10
31.95,5,34954.24,4,4,1,0,12,0,4,0.0,0.0,37.31,5,8
41.15,2,113900.87,0,3,3,1,10,2,3,0.0,0.0,19.78,6,6
17.0,6,130447.45,1,2,3,4,11,5,1,0.0,0.0,45.78,8,8
17.0,8,954678.21,0,0,0,2,2,1,1,0.0,0.0,38.79,9,5
30.69,0,76551.04,0,4,1,1,3,3,2,0.0,0.0,31.16,8,5
24.83,3,55881.33,2,3,5,1,9,3,4,0.0,0.0,45.24,3,11
42.09,9,130711.37,2,5,5,1,1,2,1,14130.59,0.0,39.7,7,6
26.2,1,47107.61,3,5,5,3,12,6,3,0.0,0.0,57.66,8,0
19.64,0,136989.77,4,0,1,1,6,1,2,0.0,0.0,41.83,11,10
57.05,9,94580.75,3,2,2,4,6,5,4,0.0,0.0,40.93,4,1
35.06,3,54011.15,0,4,1,2,9,4,0,0.0,0.0,55.72,9,5
38.88,1,146606.46,1,6,5,3,11,4,2,0.0,0.0,28.85,2,7
19.48,9,107651.79,2,2,1,4,4,1,0,0.0,0.0,21.51,8,11
30.92,5,181363.1,1,6,4,0,3,3,0,0.0,0.0,11.98,0,0
39.44,4,370260.73,2,4,5,0,5,3,3,0.0,0.0,26.18,1,3
23.04,10,66084.24,2,5,5,1,5,5,0,678.48,0.0,36.67,11,2
