0,1,2,3,4,5,6,7,8,9,10,11,12,13
1,0,15,3,10,0,0,1,0,0,11,1,1,1
0,3,16,3,11,0,0,1,0,2,2,1,13,1
0,0,2,0,8,0,0,0,0,0,11,1,9,0
1,0,1,0,15,0,0,1,0,0,12,1,0,0
1,0,1,0,8,0,0,0,0,1,11,1,1,1
1,0,17,2,8,1,1,0,0,0,10,1,0,0
1,0,5,6,10,0,0,1,0,0,12,1,1,0
0,1,18,6,9,1,0,1,0,0,12,1,11,0
0,0,11,0,1,0,0,0,0,0,10,1,8,0
1,0,15,0,1,1,0,0,0,1,11,1,0,0
1,0,1,0,1,0,0,0,0,1,11,1,9,0
1,5,15,3,14,1,0,1,0,2,11,1,10,1
0,1,14,2,10,0,0,1,0,1,8,1,8,0
0,0,11,1,9,0,0,1,0,1,11,1,11,0
0,1,14,2,11,0,0,1,0,0,10,1,8,0
1,0,14,2,9,0,0,1,0,0,10,1,11,0
1,0,1,0,9,1,0,1,0,2,11,1,10,0
0,0,14,3,11,1,1,0,0,0,10,1,13,0
1,0,16,3,12,0,0,1,0,0,13,1,14,0
0,1,15,3,12,0,0,1,0,3,10,1,13,1
1,0,11,1,1,1,0,1,0,1,1,1,9,0
0,0,1,0,14,0,0,1,0,1,10,1,8,0
0,0,1,1,11,1,0,0,0,0,14,1,1,0
0,4,14,2,15,0,0,1,0,0,12,1,2,1
0,1,14,2,3,0,0,1,0,3,11,1,11,1
0,0,11,1,9,0,0,1,0,1,11,1,0,0
0,0,0,0,12,0,0,0,0,0,12,1,13,0
1,1,1,0,9,1,0,1,0,1,11,1,10,1
0,3,15,3,12,0,0,1,0,0,13,1,11,0
0,0,15,1,13,1,0,1,0,0,13,1,12,0
1,0,14,2,15,0,0,1,0,0,13,1,10,0
0,1,1,0,12,0,0,1,0,2,1,1,1,1
0,1,15,0,9,0,0,0,0,1,13,1,10,1
0,0,15,3,11,0,0,1,0,2,9,1,0,0
0,0,14,2,10,0,0,1,0,0,10,1,11,0
0,2,11,1,13,0,0,1,0,3,13,1,9,1
0,0,2,0,1,0,0,0,0,1,10,1,8,0
0,0,11,1,13,1,0,1,0,0,12,1,11,0
0,1,14,2,10,0,0,1,0,1,11,1,12,1
0,0,15,4,8,1,0,0,0,0,8,1,10,0
1,1,11,1,14,0,0,1,0,0,11,1,2,1
0,1,14,1,9,1,0,1,0,1,8,1,1,0
0,0,0,0,15,0,1,0,0,0,8,1,10,0
0,2,14,2,11,0,0,1,0,3,12,1,12,1
0,1,11,1,11,1,0,1,0,0,13,1,12,0
0,0,11,0,9,1,0,1,0,1,10,1,8,0
0,1,1,0,12,1,0,1,0,1,10,1,10,1
0,0,16,1,14,0,1,0,0,1,11,1,13,1
1,1,1,0,9,1,0,1,0,0,8,1,11,0
1,0,0,0,1,0,0,0,0,0,12,1,0,0
1,0,11,1,9,0,0,1,0,1,11,1,1,1
1,0,11,1,10,1,0,1,0,0,11,1,1,0
0,1,1,0,9,1,0,1,0,0,8,1,11,0
0,0,14,2,9,1,0,0,0,0,14,1,9,0
0,1,14,2,10,0,0,1,0,1,0,1,1,0
0,0,16,3,12,0,0,1,0,0,9,1,9,0
0,1,0,0,11,0,1,0,0,2,10,1,8,1
0,1,14,0,1,1,0,0,0,2,10,1,9,0
1,0,1,1,9,0,0,0,0,0,12,1,9,0
0,0,14,0,8,0,0,0,0,2,11,1,10,0
1,0,15,3,12,0,0,1,0,0,10,1,8,0
0,0,16,3,11,0,0,1,0,1,12,1,8,0
0,0,14,3,13,1,1,0,0,2,9,1,14,0
0,3,14,2,11,0,0,1,0,1,13,1,9,0
1,0,17,3,9,1,0,1,0,0,10,1,9,0
1,0,1,1,11,1,1,0,0,3,10,1,12,1
1,0,15,3,10,0,0,1,0,2,13,1,12,0
0,2,19,0,1,0,0,0,0,0,12,1,8,1
0,0,15,3,13,0,0,1,0,0,11,1,15,0
1,0,11,1,9,0,0,1,0,0,11,1,10,0
0,0,14,2,13,1,0,1,0,0,9,1,10,0
0,0,19,7,13,0,0,1,0,0,13,1,8,0
0,0,16,4,9,0,0,1,0,0,10,0,10,0
1,1,11,1,9,1,0,1,0,2,11,1,0,0
0,0,17,0,1,0,0,0,0,1,12,1,9,0
1,0,4,0,8,1,0,0,0,0,12,1,9,0
1,0,17,0,1,1,0,0,0,0,10,1,1,0
0,0,16,3,9,0,0,1,0,0,13,1,11,0
1,0,1,0,11,1,1,0,0,2,9,1,8,0
0,0,11,1,15,0,0,1,0,0,10,1,2,0
0,1,14,2,10,0,0,1,0,1,10,1,12,1
0,1,11,1,13,0,0,1,0,0,11,1,15,0
0,0,15,2,12,0,0,1,0,0,10,1,13,0
0,0,19,1,9,0,0,1,0,0,12,1,0,0
0,1,11,1,14,1,0,1,0,0,13,0,15,0
0,0,20,3,13,0,0,1,0,0,15,1,15,0
0,1,14,2,10,0,0,1,0,0,11,1,9,1
0,0,15,3,12,1,0,1,0,0,1,1,10,0
1,1,14,2,10,0,0,1,0,3,10,1,11,1
1,1,1,0,9,0,0,1,0,1,1,1,1,0
0,0,14,2,10,1,0,1,0,0,10,1,1,0
1,1,14,2,12,1,0,1,0,3,8,1,0,1
0,1,17,5,13,0,0,1,0,0,11,1,0,0
0,0,2,1,11,0,0,1,0,0,10,1,0,0
0,0,17,3,3,1,0,1,0,2,10,1,11,0
0,1,15,3,10,1,0,1,0,1,8,1,12,0
1,1,15,0,9,0,1,0,0,2,11,1,8,0
0,1,15,3,10,0,0,1,0,1,14,1,12,0
0,1,11,1,1,0,0,1,0,0,2,1,0,0
0,1,11,1,11,0,0,1,0,3,10,1,0,1
0,0,1,1,12,1,1,0,0,1,10,1,9,0
0,2,17,0,10,1,0,0,0,3,10,1,11,1
1,1,1,0,8,0,0,1,0,2,10,1,10,1
0,0,15,3,15,0,0,1,0,0,14,1,12,1
1,1,14,2,9,1,0,1,0,1,11,1,1,1
0,0,11,1,8,0,0,1,0,0,10,1,0,0
0,0,15,3,15,0,0,1,0,0,11,1,3,0
0,0,17,5,11,0,0,1,0,0,12,0,8,0
