0,1,2,3,4
167,17,1,0,264
183,8,0,0,225
228,31,0,0,275
51,23,0,0,154
110,61,0,0,260
186,61,0,0,265
282,17,0,0,177
183,15,0,45,204
80,9,0,60,193
98,101,0,0,123
196,22,0,0,160
268,56,0,0,265
190,27,0,0,156
220,11,0,0,84
222,46,0,0,97
41,47,0,0,278
124,33,0,25,166
180,20,115,0,100
6,3,0,0,170
42,22,0,0,168
171,27,0,0,244
250,15,0,0,185
230,31,0,0,219
231,55,33,0,217
180,11,0,0,181
234,36,35,0,154
264,73,18,0,122
62,18,51,0,256
79,57,0,0,207
124,15,0,0,251
120,108,0,0,194
186,52,0,0,145
221,20,0,0,149
31,52,2,0,147
3,12,0,0,269
177,11,128,0,288
278,57,0,0,241
141,20,0,0,171
20,14,0,0,126
2,25,0,0,185
43,5,0,0,139
51,61,0,0,139
51,3,0,0,202
94,157,0,0,327
249,20,0,0,131
204,36,0,0,122
174,52,0,0,134
145,8,0,0,166
150,6,0,0,86
145,16,0,0,251
174,7,0,0,197
214,7,0,0,159
252,4,0,0,159
175,44,0,0,157
285,3,0,0,242
0,4,0,0,239
144,88,32,0,16
186,9,0,0,230
351,14,0,0,164
135,52,0,0,157
39,29,0,0,188
125,22,47,0,122
0,24,0,0,154
149,5,0,0,84
119,14,0,0,263
148,18,0,0,83
42,35,0,99,238
118,12,0,0,235
241,34,0,88,283
145,13,0,0,134
154,28,0,0,92
218,81,0,0,132
278,13,0,0,167
100,40,0,0,88
76,14,32,0,127
132,13,0,0,150
320,17,0,0,175
0,36,0,0,86
139,43,0,0,187
0,20,0,0,199
86,29,15,0,140
257,57,0,0,76
170,29,0,0,215
25,16,0,0,113
66,115,0,0,277
127,50,0,95,142
157,18,0,0,154
179,22,0,0,272
78,23,34,0,163
192,29,0,0,261
82,30,0,77,177
149,43,0,0,165
138,19,0,0,182
95,14,0,0,209
141,6,0,0,84
217,1,0,0,204
41,23,11,0,180
169,5,0,0,213
243,11,0,0,168
119,110,0,0,278
161,23,0,0,222
336,12,14,0,266
116,6,0,0,268
119,17,0,0,194
183,9,0,0,194
0,25,0,0,160
277,9,0,0,179
0,89,0,0,259
124,68,0,0,64
96,14,0,0,182
131,133,0,0,99
37,32,0,0,220
337,30,0,0,109
241,19,0,0,355
67,37,117,0,251
220,28,0,0,123
69,11,0,0,268
143,53,0,0,291
154,67,0,0,340
270,38,0,0,173
106,31,0,0,219
53,14,0,0,229
289,102,0,0,279
118,46,0,0,233
153,15,0,0,192
52,27,0,0,100
38,17,0,0,159
32,22,0,0,140
77,3,0,0,194
148,50,0,0,210
57,12,0,0,135
146,2,106,0,55
183,20,0,0,224
286,12,0,0,158
81,81,0,0,174
89,45,0,0,120
45,16,0,0,192
178,30,0,0,217
118,6,0,0,260
17,12,39,0,242
39,10,0,0,194
213,10,0,0,282
168,11,0,0,134
32,91,0,0,168
47,11,53,0,190
48,16,0,0,238
275,7,0,0,268
99,37,0,0,119
92,19,0,0,229
131,11,0,0,224
205,32,0,0,143
163,42,0,0,75
195,7,0,0,190
101,44,0,0,134
222,16,40,0,213
151,13,0,0,288
154,32,0,0,207
190,73,0,0,353
172,37,0,0,163
132,36,0,0,140
170,7,11,0,190
281,13,0,0,113
94,4,0,0,59
120,58,0,0,144
206,77,0,0,114
173,12,0,0,129
338,16,0,0,315
66,17,66,0,250
87,9,0,0,66
98,39,0,0,120
130,5,0,0,178
88,17,0,0,131
74,38,0,0,228
86,24,0,0,230
242,16,0,0,272
154,15,0,0,207
111,11,0,0,180
132,26,6,0,75
122,28,0,56,116
54,52,0,0,258
218,13,0,0,215
79,30,0,0,192
58,22,0,0,182
149,27,0,0,178
2,15,0,0,253
124,25,0,0,121
357,21,0,0,200
124,29,0,0,239
160,43,0,0,191
168,7,0,0,136
287,25,0,0,245
32,23,0,0,147
144,90,0,0,125
149,3,0,0,113
1,14,0,0,62
295,9,0,0,188
83,32,0,0,86
224,35,0,0,261
18,54,0,0,119
58,26,0,0,215
238,63,0,0,249
151,18,39,0,158
0,25,0,0,154
157,63,0,0,186
38,28,0,0,290
0,21,0,0,264
183,14,0,0,79
139,36,0,0,301
68,103,99,0,158
136,25,0,0,240
121,55,0,0,223
116,6,0,0,124
158,24,0,0,187
0,40,0,0,145
0,11,0,0,122
93,133,0,0,81
133,20,0,0,201
281,36,0,0,188
211,21,23,18,180
0,39,0,0,236
79,8,6,0,294
160,20,0,0,283
103,10,0,0,164
210,6,54,0,124
199,22,0,0,232
81,12,0,0,271
29,22,0,0,138
192,79,0,0,150
79,17,0,0,74
199,37,0,0,103
144,37,68,0,243
85,26,0,0,193
198,23,0,0,131
237,5,0,0,179
71,8,0,43,198
136,15,0,0,174
273,11,0,48,205
261,6,0,0,200
0,69,0,0,147
124,84,0,0,278
286,34,0,0,178
239,68,0,0,120
215,27,0,0,250
72,18,0,0,283
17,111,18,59,113
295,46,0,0,299
20,93,0,0,181
82,12,0,0,190
100,7,0,0,194
279,48,0,0,155
221,21,0,0,209
195,8,0,0,113
217,27,6,81,168
164,53,0,0,191
65,15,0,0,158
130,9,0,0,172
159,14,0,0,164
167,45,0,0,279
166,8,0,0,217
133,10,0,0,137
114,12,0,24,82
102,8,0,0,281
84,25,0,0,311
257,9,0,0,156
111,14,0,0,147
134,17,0,0,215
