0,1,2,3,4
261,56,0,0,120
169,35,137,0,325
148,4,0,0,63
193,61,0,0,37
145,10,0,0,94
151,26,95,0,137
196,7,0,0,70
250,5,0,0,139
239,8,0,0,211
154,6,0,0,158
338,64,0,0,190
165,20,0,0,132
42,45,0,0,137
144,23,0,0,245
178,9,0,0,312
138,57,0,0,282
70,7,0,0,130
228,14,0,0,148
161,13,0,0,207
367,18,0,0,242
238,19,0,0,103
134,5,0,0,90
139,12,0,0,130
0,15,0,0,75
10,26,0,0,193
74,100,0,0,220
231,18,0,0,165
186,85,0,0,147
172,37,0,0,119
205,18,0,0,229
251,17,0,0,276
207,44,0,0,62
256,45,0,0,158
4,14,0,0,163
23,7,0,0,241
193,155,0,0,215
245,10,0,0,213
116,18,0,0,180
40,21,0,0,179
37,77,0,0,211
116,15,0,0,163
91,23,0,0,148
203,37,0,0,227
119,19,0,0,194
108,55,0,0,191
205,13,0,0,115
250,24,0,0,190
71,41,0,0,177
87,45,0,0,204
129,49,0,0,234
298,20,0,0,202
1,5,0,0,129
88,84,0,0,247
156,14,0,0,274
225,58,0,0,85
187,57,0,0,203
322,46,0,0,291
303,34,0,0,239
66,10,0,0,156
177,25,0,0,187
87,13,0,0,142
169,19,0,0,103
90,84,0,0,156
280,8,0,0,223
21,34,0,0,282
95,40,0,0,284
171,19,0,0,173
47,37,0,0,186
148,8,10,0,212
0,10,0,0,212
188,25,0,0,156
157,16,0,0,123
217,12,30,0,255
225,19,22,0,169
206,24,0,0,191
140,67,0,0,132
70,33,0,0,193
56,39,0,0,120
213,10,0,0,91
44,4,0,0,88
18,6,0,0,230
112,71,0,0,223
83,17,0,0,170
204,26,0,0,183
153,10,0,0,50
110,28,0,0,302
109,40,0,0,162
266,36,0,0,173
219,14,0,0,117
48,8,66,0,66
0,12,0,0,68
257,85,0,0,130
103,8,0,0,161
245,28,21,0,282
192,18,0,0,132
207,5,0,0,305
209,23,0,0,242
125,34,0,0,221
109,23,0,0,160
78,23,0,0,126
170,49,0,0,229
95,27,0,0,346
183,30,0,0,215
119,29,0,0,197
134,53,0,0,89
9,13,0,0,210
126,36,0,0,155
179,21,0,0,130
99,9,0,0,257
107,110,0,0,267
0,12,0,0,22
256,5,0,0,275
43,28,0,0,156
85,46,0,0,213
173,53,0,0,196
103,7,0,0,234
92,8,0,0,247
128,15,0,0,118
114,12,0,0,304
224,27,0,0,167
158,11,0,0,100
0,7,0,0,220
315,13,0,0,198
177,24,0,67,280
228,44,130,0,230
206,41,0,0,128
245,48,0,0,78
338,6,0,0,160
95,46,0,0,163
154,54,0,0,289
17,60,0,0,172
200,27,0,0,212
18,7,0,0,179
268,36,0,0,200
174,43,0,0,127
195,5,3,0,195
169,106,0,0,107
129,6,0,0,153
151,37,0,0,86
183,15,0,0,156
111,18,120,0,162
190,31,0,0,144
58,22,0,0,151
256,16,0,0,136
35,8,0,0,274
217,18,0,0,293
46,29,0,0,87
134,53,77,0,139
7,19,0,0,203
174,12,0,0,272
133,76,0,75,15
0,21,0,0,144
334,59,137,0,248
179,34,0,0,9
149,26,0,0,129
34,84,0,0,210
348,27,0,4,259
200,18,0,0,81
205,9,0,0,163
58,19,0,0,183
41,27,0,0,290
174,15,0,113,202
247,22,0,0,105
75,13,0,0,137
0,33,0,0,144
172,41,35,0,259
40,11,0,0,112
85,29,0,0,229
100,12,0,0,15
0,13,0,0,245
222,9,0,0,179
212,25,0,50,233
265,8,0,0,285
108,36,0,0,214
178,7,0,0,164
28,14,0,0,152
147,36,0,0,162
245,6,0,0,192
103,9,0,0,150
229,30,0,0,216
22,13,0,0,181
34,22,0,0,157
195,28,0,0,177
137,52,0,0,122
0,20,0,0,126
230,6,0,0,274
113,20,0,0,186
30,24,0,0,296
134,11,0,0,141
0,40,0,0,186
118,41,69,0,169
205,26,0,0,149
161,87,0,0,161
242,5,0,0,272
232,21,0,0,182
194,29,0,0,197
7,20,0,0,70
190,20,0,0,165
193,18,0,0,144
230,18,0,0,168
98,41,0,91,70
220,60,0,1,304
43,27,0,17,215
171,141,109,0,90
212,36,0,0,202
0,20,0,8,199
90,40,0,0,201
146,46,0,0,107
266,19,0,0,258
164,6,0,0,186
241,74,0,0,271
269,49,0,0,202
129,20,0,0,347
265,21,0,0,176
268,16,0,0,277
0,17,0,0,162
365,12,0,0,211
210,17,0,80,234
151,16,0,0,143
31,11,0,0,112
293,5,0,0,180
249,13,0,0,144
129,24,0,0,223
250,32,0,0,76
111,19,0,0,196
303,32,0,0,196
304,50,0,0,64
182,14,0,0,170
199,20,0,0,318
69,27,0,0,277
165,49,0,0,210
215,5,0,0,291
0,66,0,0,220
162,29,0,0,177
57,42,0,0,187
45,11,0,0,180
240,7,0,0,181
