0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
34,5,0,9,4,4,0,1,4,1,0,0,51,38,0
59,4,0,9,4,2,3,0,4,1,0,0,8,38,0
34,2,8,11,15,0,5,1,4,1,0,0,51,38,0
59,2,17,1,13,2,5,0,2,1,0,0,51,38,0
17,2,25,9,4,2,9,5,2,0,0,0,51,4,0
34,2,17,12,5,2,3,5,4,0,0,0,51,38,0
51,2,8,6,11,3,7,1,2,0,0,0,17,22,0
59,4,8,11,15,2,3,0,4,1,0,0,59,38,1
17,2,0,12,5,4,9,1,4,0,17,0,59,38,1
42,2,8,9,4,2,3,0,4,1,0,0,51,38,1
34,2,17,15,1,2,3,0,2,1,0,0,102,38,1
17,5,8,9,4,2,9,0,1,1,0,0,51,18,1
8,2,0,9,4,4,0,3,4,0,0,0,34,38,0
25,2,8,7,3,4,11,1,2,1,0,0,59,38,0
25,2,17,5,10,2,13,0,0,1,0,0,59,25,0
8,4,8,11,15,4,4,3,4,1,0,0,42,38,0
25,2,8,11,15,4,6,4,4,1,0,0,51,38,0
34,2,0,1,13,2,11,0,4,1,0,0,59,38,0
42,4,17,12,5,0,3,4,4,0,0,0,59,38,1
34,2,8,10,7,2,9,0,4,1,0,0,76,38,1
59,2,17,11,15,5,7,4,2,0,0,0,17,38,0
25,0,0,6,11,2,4,0,2,1,0,0,51,38,0
42,2,0,1,13,2,13,0,4,1,0,59,51,38,0
68,2,0,11,15,0,12,4,4,0,0,0,51,38,0
68,1,8,9,4,2,12,0,4,1,0,0,51,38,1
0,2,8,11,15,4,2,3,4,1,0,0,51,38,0
34,2,25,11,15,0,3,1,4,1,0,0,102,38,0
51,2,8,11,15,2,2,0,4,1,0,0,51,38,0
8,1,8,7,3,4,10,1,4,1,0,0,68,38,0
0,2,17,15,1,4,11,3,2,1,0,0,51,38,0
42,2,25,9,4,0,3,3,4,1,0,42,51,38,0
17,0,0,15,1,2,0,3,4,1,0,0,51,38,0
0,5,25,15,1,2,7,0,2,1,0,0,17,38,0
51,2,17,1,13,4,6,4,4,1,0,0,51,32,0
0,2,8,15,1,4,6,3,4,1,0,0,51,38,0
0,2,42,11,15,1,0,5,4,0,0,0,25,38,0
51,4,17,7,3,2,9,0,4,1,0,0,51,38,0
17,2,42,6,11,2,6,0,4,1,0,0,51,38,0
59,4,0,9,4,2,9,0,4,1,0,0,51,38,0
8,2,8,9,4,2,12,0,4,1,0,0,59,38,0
51,2,0,11,15,5,0,4,4,0,0,0,51,38,0
8,2,17,11,15,4,5,1,4,1,0,0,42,38,0
68,0,25,9,4,2,9,0,2,1,0,0,51,38,1
59,2,8,11,15,2,6,0,4,1,0,0,42,38,0
42,2,0,12,5,0,3,4,4,0,0,0,51,38,0
42,5,0,8,2,2,2,0,4,1,0,0,51,38,0
17,2,17,8,2,4,9,1,4,1,0,0,51,38,0
8,2,0,15,1,2,3,5,3,0,0,0,51,38,0
51,2,0,14,6,2,9,5,4,0,0,51,76,15,1
59,0,17,9,4,0,3,1,4,1,0,0,68,38,1
51,3,0,11,15,0,3,1,4,1,0,0,76,38,0
42,2,17,15,1,2,12,0,4,1,0,0,51,38,1
51,2,8,4,9,2,6,0,4,1,0,0,51,25,0
25,2,0,8,2,2,7,0,4,1,0,0,51,32,0
42,2,8,11,15,2,0,0,4,1,0,0,59,38,0
17,2,8,11,15,2,6,0,4,1,0,0,51,38,0
17,2,0,9,4,2,11,0,4,1,0,0,51,38,0
51,2,8,11,15,2,13,0,4,1,0,0,51,38,0
42,2,0,10,7,2,9,0,4,1,0,0,59,38,1
17,2,0,15,1,0,12,1,4,1,0,0,76,38,0
25,2,8,11,15,2,2,0,4,1,0,0,51,38,0
17,2,8,15,1,0,0,1,4,0,0,0,51,38,0
59,2,8,11,15,2,0,5,4,0,0,0,51,38,1
51,3,8,15,1,2,3,0,4,1,0,0,59,38,1
0,2,0,15,1,4,9,3,4,1,0,0,34,38,0
17,2,25,9,4,5,11,3,2,0,0,0,51,38,0
17,4,8,9,4,2,11,0,4,1,0,0,93,38,1
8,2,8,15,1,4,6,1,4,1,0,0,51,38,0
110,2,0,15,1,2,9,2,4,1,0,0,17,38,0
8,2,8,11,15,4,7,3,4,1,0,0,51,25,0
34,2,0,7,3,2,0,0,4,1,0,0,51,38,0
0,2,25,1,13,4,7,3,4,0,0,0,25,38,0
17,1,0,5,10,2,4,0,4,1,0,0,51,38,0
0,2,34,11,15,4,11,1,4,1,0,0,34,38,0
59,2,17,9,4,2,7,0,4,1,0,0,51,4,0
51,2,0,11,15,2,7,5,4,0,0,0,51,38,0
68,2,8,11,15,2,11,0,4,1,0,0,59,38,0
42,2,25,11,15,0,2,1,4,0,17,0,51,38,1
59,2,25,11,15,0,11,3,4,0,0,0,42,38,0
51,1,17,11,15,2,10,0,4,1,0,0,51,38,1
25,2,8,12,5,2,9,0,4,1,0,0,59,38,0
17,2,0,6,11,4,11,1,4,1,0,0,51,38,0
42,0,34,10,7,4,9,1,4,0,0,0,59,38,1
68,2,17,8,2,2,9,0,4,1,0,0,51,38,0
34,2,17,15,1,0,2,4,4,0,0,0,51,38,0
17,2,8,15,1,0,6,4,2,0,0,0,25,38,0
25,1,17,9,4,2,10,0,4,1,0,0,51,38,1
17,1,0,15,1,4,5,1,4,1,0,0,59,38,0
51,4,8,10,7,2,9,0,4,1,0,51,76,38,1
34,2,8,15,1,2,11,0,4,1,0,0,59,38,1
51,2,8,7,3,0,3,4,4,0,0,0,51,8,0
25,0,17,11,15,4,7,3,2,1,0,0,51,38,0
102,2,0,12,5,2,3,0,4,1,0,0,51,38,1
42,2,8,9,4,2,3,0,4,1,17,0,76,38,1
51,4,8,12,5,4,9,1,4,0,0,0,59,38,0
0,2,8,15,1,4,12,3,4,0,0,0,51,38,0
17,2,0,11,15,4,2,1,4,1,0,0,51,38,0
25,3,25,11,15,2,2,0,4,1,8,0,51,38,1
17,2,8,1,13,4,5,3,4,1,0,0,51,38,0
17,1,8,11,15,4,0,1,4,0,0,0,51,38,0
42,2,0,11,15,2,5,0,4,1,0,0,51,38,0
8,2,34,9,4,4,11,2,4,1,0,0,51,38,0
34,2,0,14,6,2,9,0,4,1,0,0,51,38,1
68,4,25,11,15,2,7,0,4,1,0,51,59,1,1
17,2,25,15,1,2,11,5,4,0,0,0,25,38,0
25,2,0,11,15,4,6,3,4,0,0,0,51,38,0
59,2,0,6,11,2,5,0,4,1,0,0,59,38,0
