0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
32,2,11,4,7,4,2,12,5,2,0,0,70,5,2
55,1,2,3,3,0,1,10,1,3,0,0,81,11,4
7,7,16,4,4,5,4,8,5,4,19,0,75,5,6
62,10,2,1,5,5,0,13,2,1,4,0,82,1,5
32,8,12,3,4,0,0,2,3,4,0,0,35,5,8
27,9,4,3,7,0,4,1,4,3,0,0,68,0,11
94,1,4,3,0,0,4,10,4,1,25,0,86,8,4
0,10,21,2,3,1,0,8,1,1,0,0,59,0,5
0,2,17,0,4,4,1,6,5,4,0,0,69,6,5
44,2,5,1,5,0,2,11,6,4,0,0,46,2,10
15,6,3,1,2,3,3,1,1,2,0,0,53,0,10
25,2,2,3,6,3,1,9,5,1,0,0,45,7,5
57,5,4,0,6,4,1,6,2,4,0,0,67,10,7
0,3,8,0,3,5,0,6,2,0,0,0,56,11,7
30,1,2,4,1,2,4,7,5,2,0,0,60,0,7
0,0,11,3,3,3,1,12,6,1,0,0,28,5,7
28,9,15,2,0,4,1,13,4,0,0,0,50,3,9
11,7,69,3,4,2,2,7,4,0,0,0,40,11,1
30,1,0,2,2,3,4,1,6,3,0,0,50,7,3
36,10,3,2,7,1,1,11,6,0,0,0,62,6,4
59,8,4,1,7,0,1,7,2,0,0,0,33,4,2
60,2,4,0,6,4,2,11,0,4,0,0,58,7,0
27,5,5,3,1,0,1,1,2,0,0,0,37,4,0
55,2,1,0,2,4,0,0,3,1,0,0,50,5,1
73,4,20,2,2,2,4,3,5,0,0,0,40,3,2
49,9,6,1,0,3,0,5,3,4,0,0,48,7,7
31,8,3,3,3,0,4,6,0,3,0,0,31,10,1
44,0,11,2,6,3,3,3,3,0,0,0,63,3,2
49,8,3,0,1,0,3,8,4,3,0,0,41,3,4
54,4,3,1,0,1,4,11,0,4,0,0,63,2,9
26,9,2,2,2,0,0,9,2,4,0,0,69,7,11
57,9,16,2,5,5,3,10,2,4,0,0,124,1,1
32,5,1,0,4,0,4,6,2,4,0,0,41,4,9
6,9,7,3,5,5,4,3,5,1,0,0,75,7,11
48,10,9,1,7,1,4,13,2,2,0,0,60,3,6
73,6,7,4,0,0,2,9,2,1,0,0,59,4,10
49,10,9,4,5,3,1,5,0,0,0,0,59,7,7
124,9,11,1,6,5,1,0,4,4,0,0,59,7,3
28,4,13,1,0,2,2,6,5,4,0,0,22,10,11
48,4,1,2,4,5,2,3,6,2,0,0,61,8,10
55,5,9,0,7,4,1,10,4,3,0,0,74,7,8
18,8,12,1,3,5,3,13,5,4,0,0,50,0,9
50,1,2,3,4,5,1,8,2,1,0,0,42,4,11
47,6,7,2,1,4,2,13,6,2,0,0,49,11,6
2,9,6,3,7,5,3,8,5,1,0,0,65,0,11
52,7,21,0,7,1,3,12,2,0,0,0,77,2,10
30,4,4,3,4,5,2,5,3,4,0,0,63,6,9
20,9,8,3,4,5,0,13,3,0,0,0,52,8,3
89,4,4,2,1,1,4,11,1,0,0,0,56,8,6
5,6,2,0,7,3,0,3,4,2,0,0,47,2,3
37,1,4,3,3,3,1,1,3,3,0,0,42,10,3
3,0,15,2,1,3,2,7,6,3,0,0,37,0,4
